#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
eonia_up,CC_SWAP_EUR_USD,2028-02-07,12.005464,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2028-05-05,12.245902,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2028-08-07,12.502732,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2028-11-06,12.751366,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2029-02-05,13.000262,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2029-05-07,13.249577,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2029-08-06,13.498892,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2029-11-05,13.748207,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2030-02-05,14.000262,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2030-05-06,14.246837,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2030-08-05,14.496152,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2030-11-05,14.748207,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2031-02-05,15.000262,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2031-05-05,15.244098,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2031-08-05,15.496152,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2031-11-05,15.748207,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2032-02-05,16.000000,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2032-05-05,16.245902,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2032-08-05,16.497268,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2032-11-05,16.748634,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2033-02-07,17.005741,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2033-05-05,17.244098,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2033-08-05,17.496152,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2033-11-07,17.753687,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2034-02-06,18.003002,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2034-05-05,18.244098,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2034-08-07,18.501632,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2034-11-06,18.750947,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2035-02-05,19.000262,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2035-05-07,19.249577,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2035-08-06,19.498892,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2035-11-05,19.748207,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2036-02-05,20.000000,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2036-05-05,20.245902,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2036-08-05,20.497268,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2036-11-05,20.748634,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2037-02-05,21.000262,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2037-05-05,21.244098,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2037-08-05,21.496152,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2037-11-05,21.748207,0,0,0,0,0,0,4647606,0.00,0.00
eonia_up,CC_SWAP_EUR_USD,2038-02-05,22.000262,0,0,0,0,0,0,4647606,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2016-02-05,0.000000,0,37311604,0,0,0,0,0,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2016-05-05,0.245902,0,37311604,0,0,0,0,0,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2016-08-05,0.497268,9564,36894620,0,0,0,9661,9661,4883.61,4883.61
no_shift,CC_SWAP_EUR_USD,2016-11-07,0.754098,0,36885056,0,0,0,0,9661,3220.35,6510.71
no_shift,CC_SWAP_EUR_USD,2017-02-06,1.003002,2881,35537764,0,0,0,2939,9661,3150.66,7292.50
no_shift,CC_SWAP_EUR_USD,2017-05-05,1.244098,61241,35596124,0,0,0,62795,62795,14709.34,18048.52
no_shift,CC_SWAP_EUR_USD,2017-08-07,1.501632,119541,34415352,0,0,0,123212,123212,33317.92,36084.43
no_shift,CC_SWAP_EUR_USD,2017-11-06,1.750947,78094,34373908,0,0,0,80895,123212,40092.39,48490.46
no_shift,CC_SWAP_EUR_USD,2018-02-05,2.000262,133777,33061748,0,0,0,139265,139265,52453.42,59804.75
no_shift,CC_SWAP_EUR_USD,2018-05-07,2.249577,138655,33066626,0,0,0,145067,145067,62717.59,69254.18
no_shift,CC_SWAP_EUR_USD,2018-08-06,2.498892,243385,32084504,0,0,0,255919,255919,81993.31,87877.75
no_shift,CC_SWAP_EUR_USD,2018-11-05,2.748207,292590,32133708,0,0,0,309202,309202,102605.46,107956.07
no_shift,CC_SWAP_EUR_USD,2019-02-05,3.000262,333142,31093430,0,0,0,353842,353842,123712.06,128613.15
no_shift,CC_SWAP_EUR_USD,2019-05-06,3.246837,418485,31178772,0,0,0,446693,446693,148240.31,152769.20
no_shift,CC_SWAP_EUR_USD,2019-08-05,3.496152,437261,30207034,0,0,0,469076,469076,171119.54,175325.47
no_shift,CC_SWAP_EUR_USD,2019-11-05,3.748207,540768,30310542,0,0,0,583057,583057,198821.02,202744.11
no_shift,CC_SWAP_EUR_USD,2020-02-05,4.000000,577857,29349716,0,0,0,626208,626208,225724.23,229400.38
no_shift,CC_SWAP_EUR_USD,2020-05-05,4.245902,631503,29403362,0,0,104248,687738,687738,252481.80,255945.04
no_shift,CC_SWAP_EUR_USD,2020-08-05,4.497268,726035,28599342,0,0,0,794699,794699,282787.98,286057.65
no_shift,CC_SWAP_EUR_USD,2020-11-05,4.748634,807846,28681154,0,0,1929001,888733,888733,314863.31,317959.90
no_shift,CC_SWAP_EUR_USD,2021-02-05,5.000262,992663,27961688,0,0,3205193,1097596,1097596,354252.74,357193.50
no_shift,CC_SWAP_EUR_USD,2021-05-05,5.244098,1041376,28010402,0,0,2464186,1157107,1157107,391583.19,394387.22
no_shift,CC_SWAP_EUR_USD,2021-08-05,5.496152,1148212,27292112,0,0,3048052,1282289,1282289,432431.18,435106.61
no_shift,CC_SWAP_EUR_USD,2021-11-05,5.748207,1219335,27363234,0,0,4916642,1368624,1368624,473482.57,476040.69
no_shift,CC_SWAP_EUR_USD,2022-02-07,6.005741,1305447,26603506,0,0,5798178,1472874,1472874,516337.84,518786.26
no_shift,CC_SWAP_EUR_USD,2022-05-05,6.244098,1445598,26743656,0,0,7350735,1638823,1638823,559186.51,561541.47
no_shift,CC_SWAP_EUR_USD,2022-08-05,6.496152,1530150,26064740,0,0,9181124,1743477,1743477,605137.72,607401.30
no_shift,CC_SWAP_EUR_USD,2022-11-07,6.753687,1576656,26111246,0,0,8856060,1805778,1805778,650921.02,653098.29
no_shift,CC_SWAP_EUR_USD,2023-02-06,7.003002,1787235,25534746,0,0,12258454,2057229,2057229,700987.24,703087.00
no_shift,CC_SWAP_EUR_USD,2023-05-05,7.244098,1887936,25635448,0,0,15210674,2183687,2183687,750334.00,752363.87
no_shift,CC_SWAP_EUR_USD,2023-08-07,7.501632,2018883,25011196,0,0,15879402,2347251,2347251,805156.86,807117.04
no_shift,CC_SWAP_EUR_USD,2023-11-06,7.750947,2057706,25050020,0,0,15584303,2404393,2404393,856597.49,858494.63
no_shift,CC_SWAP_EUR_USD,2024-02-05,8.000000,2334427,24573086,0,0,17738400,2741422,2741422,915275.17,917113.24
no_shift,CC_SWAP_EUR_USD,2024-05-06,8.248634,2430471,24669128,0,0,17708510,2868531,2868531,974151.05,975933.72
no_shift,CC_SWAP_EUR_USD,2024-08-05,8.497268,2610405,24135970,0,0,18243700,3096354,3096354,1036247.67,1037978.17
no_shift,CC_SWAP_EUR_USD,2024-11-05,8.748634,2594715,24120280,0,0,17614836,3093355,3096354,1095352.57,1097119.52
no_shift,CC_SWAP_EUR_USD,2025-02-05,9.000262,2806790,23613584,0,0,20434942,3363160,3363160,1158755.61,1160473.16
no_shift,CC_SWAP_EUR_USD,2025-05-05,9.244098,2840512,23647306,0,0,20494092,3420268,3420268,1218408.51,1220080.75
no_shift,CC_SWAP_EUR_USD,2025-08-05,9.496152,3027133,23172728,0,0,19065960,3663468,3663468,1283307.33,1284935.18
no_shift,CC_SWAP_EUR_USD,2025-11-05,9.748207,3143618,23289214,0,0,20400460,3823739,3823739,1348994.08,1350579.85
no_shift,CC_SWAP_EUR_USD,2026-02-05,10.000262,0,0,0,0,0,0,3823739,1314992.93,1412915.39
no_shift,CC_SWAP_EUR_USD,2026-05-05,10.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2026-08-05,10.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2026-11-05,10.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2027-02-05,11.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2027-05-05,11.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2027-08-05,11.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2027-11-05,11.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2028-02-07,12.005464,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2028-05-05,12.245902,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2028-08-07,12.502732,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2028-11-06,12.751366,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2029-02-05,13.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2029-05-07,13.249577,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2029-08-06,13.498892,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2029-11-05,13.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2030-02-05,14.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2030-05-06,14.246837,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2030-08-05,14.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2030-11-05,14.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2031-02-05,15.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2031-05-05,15.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2031-08-05,15.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2031-11-05,15.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2032-02-05,16.000000,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2032-05-05,16.245902,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2032-08-05,16.497268,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2032-11-05,16.748634,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2033-02-07,17.005741,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2033-05-05,17.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2033-08-05,17.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2033-11-07,17.753687,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2034-02-06,18.003002,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2034-05-05,18.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2034-08-07,18.501632,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2034-11-06,18.750947,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2035-02-05,19.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2035-05-07,19.249577,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2035-08-06,19.498892,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2035-11-05,19.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2036-02-05,20.000000,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2036-05-05,20.245902,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2036-08-05,20.497268,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2036-11-05,20.748634,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2037-02-05,21.000262,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2037-05-05,21.244098,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2037-08-05,21.496152,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2037-11-05,21.748207,0,0,0,0,0,0,3823739,0.00,0.00
no_shift,CC_SWAP_EUR_USD,2038-02-05,22.000262,0,0,0,0,0,0,3823739,0.00,0.00
